OBJECTID,Id,type,tident,ident,Latitude,Longitude,No_Ruas,TOTAL__KM_,BAIK,SEDANG,RUSAK_RING,RUSAK_BERA
"18","0",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"19","0",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",TRACK,Bungkak - Durjan (R.09D,T7350,-7.03401661000,113.12292955000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",,,,0.00000000000,0.00000000000,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
